id_carreau_1km;carreau_traite_secret;code_commune;pop;pop0014;pop1564;pop65p;popf;popfr;poph;pophorsue;popmigr0;popmigrfr;popmigrhorsfr;popue
FR_CRS3035RES1000mN2031000E4252000;0;2A041;49.3663558747492;7.00368557789495;36.2790182727411;6.08365202411309;23.2151872951776;43.3179629885376;26.1511685795716;4.0439236206341;44.3320182475064;5.03433762724274;0.0;2.00446926557744
FR_CRS3035RES1000mN2032000E4250000;0;2A041;676.462260230403;85.1035238694974;430.266101553614;161.092634807292;339.37351890028;479.397059240976;337.088741330123;134.139429919823;624.15746924926;39.3457869233331;4.9877346707394;62.9257710696038
FR_CRS3035RES1000mN2032000E4251000;0;2A041;387.944533584559;82.7895640227333;233.069806986609;72.0851625752171;194.168348748948;320.215253947948;193.776184835611;48.7086316621927;378.982039135954;7.97194421655034;0.0;19.0206479744185
FR_CRS3035RES1000mN2032000E4252000;0;2A041;284.853499804742;52.5954604160322;175.370871368651;56.8871680200587;147.461898593799;234.717307907188;137.391601210943;24.1242825301523;262.793131850731;20.0791328434696;0.0;26.011909367402
FR_CRS3035RES1000mN2033000E4250000;0;2A041;252.713325542246;25.7109284578581;125.263184826695;101.739212257693;143.438132840216;214.601852659837;109.275192702031;22.0184736322859;243.696965940236;8.02580936995619;0.0;16.0929992501233
FR_CRS3035RES1000mN2033000E4251000;0;2A041;190.850137427872;25.7667302000296;145.795027095066;19.2883801327762;99.4459649047405;163.567383662169;91.404172523131;13.1227329653556;168.636704781361;19.1832902364229;1.02580936995619;14.1600208003465
FR_CRS3035RES1000mN2033000E4252000;0;2A041;32.7302559991746;5.97828648180709;23.767628428454;2.9843410889135;15.9913041516668;23.9843280339016;16.7389518475077;7.72011859531675;31.7280894791088;0.0;0.0;1.02580936995619
FR_CRS3035RES1000mN2033000E4253000;0;2A041;26.1987315228355;1.99271675212036;19.1243914436914;5.08162332702369;12.0735563914616;23.1568365992908;14.1251751313739;1.02580936995619;22.1310272293346;3.06553777343518;0.0;2.01608555358851
FR_CRS3035RES1000mN2033000E4254000;0;2A041;69.272470519653;12.9007895320314;37.0946414969039;19.2770394907178;33.1443293075884;61.2302694431882;36.1281412120647;5.02367495438824;64.2844602214783;4.98801029817477;0.0;3.01852612207655
FR_CRS3035RES1000mN2033000E4255000;0;2A041;53.3761181487013;5.98976654437215;29.1118905050757;18.2744610992534;24.2062856240768;47.3392037275245;29.1698325246245;6.03691442117679;49.4139172204827;3.96220092821858;0.0;0.0
FR_CRS3035RES1000mN2034000E4249000;0;2A041;38.9725433937389;6.93425556368139;27.9707213595329;4.06756647052458;19.0317240793821;31.8751101590793;19.9408193143568;1.0139190335228;38.9725433937389;0.0;0.0;6.08351420113677
FR_CRS3035RES1000mN2034000E4250000;0;2A041;108.058458076683;18.867458165117;77.0232839919412;12.1677159196248;54.0289549899192;89.0275450339248;54.0295030867638;7.9943720353956;99.1195985826886;5.99003899526417;0.0;11.0365410073626
